articulo diametro tiempo  precio
2	27.18	47.65	144.00
2	35.56	63.13	215.00
2	22.86	58.76	105.00
1	20.32	34.88	69.00
3	25.40	55.53	134.00
2	26.67	43.14	129.00
4	40.64	54.86	155.00
4	38.10	44.14	99.00
3	16.51	17.46	38.50
3	12.70	21.04	36.50
4	63.50	109.38	260.00
1	26.42	17.67	54.00
1	18.80	16.41	39.00
1	13.72	12.02	29.50
2	39.12	49.48	109.00
2	31.50	48.74	89.50
1	15.24	23.21	42.00
1	22.86	28.64	65.00
1	22.86	44.95	115.00
4	31.50	23.77	49.50
1	19.05	20.21	36.50
1	35.56	32.62	109.00
1	17.78	17.84	45.00
1	22.86	22.82	58.00
1	30.48	29.48	89.00
1	13.97	15.61	30.00
1	15.24	13.25	31.00
1	30.48	45.78	119.00
4	13.97	26.53	22.00
1	36.07	37.11	109.00
3	27.94	45.12	99.00
4	40.64	26.09	99.00
2	34.29	68.63	179.00
3	28.19	33.71	99.00
3	24.89	44.45	89.00
1	25.40	23.74	75.00
2	33.02	86.42	199.00
1	33.02	39.71	93.00
4	29.72	26.52	65.00
4	31.24	33.89	74.00
4	49.53	64.30	165.00
1	38.61	22.55	99.00
4	25.40	31.86	43.50
1	27.94	53.18	94.00
4	45.21	74.48	189.00
4	29.21	34.16	75.00
4	32.26	31.46	59.50
1	20.32	21.34	42.00
4	19.05	20.83	23.00
1	22.86	20.59	52.50
2	35.56	33.70	99.00
2	31.50	32.90	89.00
3	22.35	27.76	65.00
1	21.59	30.20	54.50
4	15.24	20.85	24.50
4	27.94	26.25	52.00
4	28.19	21.87	62.50
4	36.83	23.88	89.00
4	12.70	16.66	21.50
